City,City Population,# Interested Stakeholders,# Known RockFound Programs
Da Nang,796000,5,1
Semarang,1556000,5,1
Mandalay,1035000,3,0
Medellin,2184000,3,0
Boulder,101800,2,0
New Orleans,369250,1,1
Surat,4462002,1,1
Durban,2954000,0,2
Bangkok,6876000,0,2
Bristol,428000,0,1
Dakar,1121925,0,1
Ramallah,27000,0,0
Byblos,40000,0,0
Vejle,52500,0,0
Melbourne,105381,0,0
Ashkelon,113000,0,0
Berkeley,115000,0,0
Norfolk,246000,0,0
Christchurch,391000,0,0
Oakland,401000,0,0
Glasgow,598800,0,0
Rotterdam,610000,0,0
El Paso,672500,0,0
San Francisco,825900,0,0
Jacksonville,836500,0,0
Porto-Alegre,1409000,0,0
Quito,1608000,0,0
Rome,2753000,0,0
Los Angeles,3858000,0,0
Rio de Janeiro,6320000,0,0
New York City,8337000,0,0
Mexico City,8851000,0,0
