ADM0,USAID Urban Policy Focus,Secure Internet servers (per 1 million people),Freedom on the Net,Freedom House Freedom Score,OKFN Open Data Rank ,Internet users (per 100 people),Mobile cellular subscriptions (per 100 people),Known Ushahidi Deployments: National level,# Known RockFound Programs
United States,0,1474.075514,0.058823529,1,855,81.0252,98.16610391,31,2
India,3,3.567597101,0.021276596,0.4,215,12.58006091,68.71850699,15,1
Indonesia,2,3.949540012,0.024390244,0.4,415,15.36,115.1957716,12,1
Thailand,2,19.57026249,0.016666667,1,#N/A,26.5,120.2925445,6,1
Brazil,0,54.28478862,0.03125,0.5,410,49.84799936,125.1878012,5,1
Senegal,3,2.112775436,#N/A,0.4,215,19.2036,87.50910993,1,1
Vietnam,3,6.702299621,0.013333333,0.166666667,#N/A,39.49,149.4099973,0,1
Colombia,2,28.44599727,#N/A,0.285714286,#N/A,48.9843188,103.1874415,11,0
Italy,0,208.0666564,0.043478261,0.666666667,515,58,159.4806259,10,0
Mexico,1,28.0684387,0.026315789,0.333333333,405,38.42,86.77462037,7,0
South Africa,2,83.74795995,0.038461538,0.5,315,41,134.7976985,3,0
United Kingdom,0,1478.280203,0.041666667,1,940,87.0162,130.7507732,1,0
Israel,0,396.439004,#N/A,0.666666667,475,73.3650161,119.8881823,1,0
New Zealand,0,1466.017008,#N/A,1,660,89.5109,110.3276498,1,0
Australia,0,1724.461726,0.055555556,1,660,82.3495485,106.1928152,1,0
Lebanon,2,48.58880044,0.022222222,0.222222222,#N/A,61.24978572,93.20274696,1,0
Denmark,0,2214.300816,#N/A,1,835,93,117.9558921,0,0
Netherlands,0,2803.72299,#N/A,1,740,93,117.522628,0,0
Ecuador,2,22.1400823,0.027027027,0.333333333,425,35.13450622,110.7080686,0,0
West Bank and Gaza,2,4.694950531,#N/A,0.181818182,#N/A,0,71.20460823,0,0
Myanmar,3,0.094701778,0.016129032,0.181818182,#N/A,1.0691,11.16484031,0,0
